RELPATH	CDFILE	WJBH	ZRZ	WJCLTM	RQ	BZ
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程竣工档案编制说明及目录索引		
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000001.tif		中华人民共和国上海出入境检验检疫局	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目编制说明	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000002.tif		中华人民共和国上海出入境检验检疫局	案卷目录	2011.11.08	
0000 竣工档案编制说明及目录索引	0000 竣工档案编制说明及目录索引\00000003.tif		中华人民共和国上海出入境检验检疫局	案卷分目录	2011.11.08	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000001.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程项目可行性报告		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000002.tif	沪建建[2002]460号	上海市建设和管理委员会	关于加强上海市建设工程抗震设防管理工作的通知		
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000003.tif	310115200908031701	上海市建筑业管理办公室	建筑工程施工许可证	2009.12.21	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000004.tif		上海市建筑业管理办公室	上海市建设工程报建表	2009.08.04	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000005.tif		上海市建筑建材业受理服务中心	上海市建设工程安全质量监督申报表	2010.04.02	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000006.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工中标(交易成交)通知书	2009.10.16	
0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料	0001 可行性研究报告、建筑工程施工许可证、施工中标通知书(江苏五星)等材料\00000007.tif		上海市建设工程招标投标管理办公室	上海市建设工程施工招投标办事流程表	2009.10.16	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件、回标分析情况说明		
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000001.tif		上海市建设工程招标投标管理办公室	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工招标文件	2009.08	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000002.tif		上海宁信建设工程咨询有限公司	招标投标情况书面报告	2009.10	
0002 施工招标文件、回标分析情况说明	0002 施工招标文件、回标分析情况说明\00000003.tif		上海宁信建设工程咨询有限公司	回标分析情况说明	2009.10
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000029.tif		上海同济工程项目管理咨询有限公司	有关1号电梯悬挂装置、随行电缆、补偿装置安装的报验申请表	2010.08.20
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000030.tif		上海同济工程项目管理咨询有限公司	有关1号电梯电气装置安装的报验申请表	2010.08.21
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000031.tif		上海同济工程项目管理咨询有限公司	有关1号电梯电梯整机安装的报验申请表	2010.08.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000032.tif		上海同济工程项目管理咨询有限公司	有关1号电梯隐蔽工程的报验申请表	2010.08.15
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000033.tif		上海同济工程项目管理咨询有限公司	工程款支付申请表	2009.11.24~2010.02.26
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000034.tif		上海同济工程项目管理咨询有限公司	有关商品混凝土的工程材料报审表	2009.12.28~2010.05.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000035.tif		上海同济工程项目管理咨询有限公司	有关门洞剪力墙试块的报验申请表	2010.05.26
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000036.tif		上海同济工程项目管理咨询有限公司	有关同条件试块的报验申请表	2010.03.01
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000037.tif		上海同济工程项目管理咨询有限公司	有关钢筋的工程材料报审表	2009.11.26
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000038.tif		上海同济工程项目管理咨询有限公司	有关钢筋抗拔性能的报验申请表	2009.11.28
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000039.tif		上海同济工程项目管理咨询有限公司	有关钢筋焊接的报验申请表	2009.11.26
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000040.tif		上海同济工程项目管理咨询有限公司	有关桥架线槽的工程材料报审表	2010.03.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000041.tif		上海同济工程项目管理咨询有限公司	有关电缆的工程材料报审表	2010.04.21
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000042.tif		上海同济工程项目管理咨询有限公司	有关低压配电箱的工程材料报审表	2010.05.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000043.tif		上海同济工程项目管理咨询有限公司	有关钢板的工程材料报审表	2009.12.12
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000044.tif		上海同济工程项目管理咨询有限公司	有关方管的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000045.tif		上海同济工程项目管理咨询有限公司	有关H型钢的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000046.tif		上海同济工程项目管理咨询有限公司	有关电焊条的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000047.tif		上海同济工程项目管理咨询有限公司	有关环氧富锌漆的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000048.tif		上海同济工程项目管理咨询有限公司	有关钢筋原材料复试报告的报验申请表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000049.tif		上海同济工程项目管理咨询有限公司	有关防火涂料的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000050.tif		上海同济工程项目管理咨询有限公司	有关角钢的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000051.tif		上海同济工程项目管理咨询有限公司	有关铝板的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000052.tif		上海同济工程项目管理咨询有限公司	有关密封胶报审的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000053.tif		上海同济工程项目管理咨询有限公司	有关幕墙配件的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000054.tif		上海同济工程项目管理咨询有限公司	有关南北电梯玻璃幕墙安装的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000055.tif		上海同济工程项目管理咨询有限公司	有关南北电梯幕墙玻璃NP中性半透明胶的工程材料报审表	2009.12.30
0015 特种操作人员证书、报验申请表、工程材料报审表	0015 特种操作人员证书、报验申请表、工程材料报审表\00000056.tif		上海同济工程项目管理咨询有限公司	工作量计划表	2009.11.30~2010.01.17
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程监理例会纪要、监理评估报告、总监理变更说明等	
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000001.tif		上海同济工程项目管理咨询有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程监理例会纪要	2009.11.23~2010.11.02
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000002.tif		上海同济工程项目管理咨询有限公司	门洞、基础混凝土加固分部工程质量监理评估报告	2010.04.25
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000003.tif		上海同济工程项目管理咨询有限公司	钢结构主体分部工程质量监理评估报告	2010.04
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000004.tif		上海同济工程项目管理咨询有限公司	单位工程竣工质量监理评估报告	2010.09
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000005.tif		上海同济工程项目管理咨询有限公司	有关派监理工程师到施工现场做指导工作的承诺书	2010.01.14
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000006.tif		上海同济工程项目管理咨询有限公司	有关任命刘宏亮为总监理工程师的任命书	2010.04.10
0016 监理例会纪要、监理评估报告、总监理变更说明等	0016 监理例会纪要、监理评估报告、总监理变更说明等\00000007.tif		上海同济工程项目管理咨询有限公司	有关总监理工程师变更的申请	2010.04.10
0017 施工合同、补充协议等	0017 施工合同、补充协议等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工合同、补充协议等	
0017 施工合同、补充协议等	0017 施工合同、补充协议等\00000001.tif		中华人民共和国上海出入境检验检疫局、江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程施工合同	2009.11.09
0017 施工合同、补充协议等	0017 施工合同、补充协议等\00000002.tif		中华人民共和国上海出入境检验检疫局、江苏五星建设集团有限公司	补充协议	2009.11.30
0017 施工合同、补充协议等	0017 施工合同、补充协议等\00000003.tif		中国建设银行股份有限公司溧阳支部	履约保函	2010.01.06
0017 施工合同、补充协议等	0017 施工合同、补充协议等\00000004.tif		上海出入境检验检疫局、江苏五星建设集团有限公司	外来施工队伍治安、消防安全协议书	2009.10.31
0018 预算书	0018 预算书\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程预算书	
0018 预算书	0018 预算书\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程预算书	2010.03.24
0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案	0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程分项、分部质量验收证明书、施工组织设计审批表及施工方案	
0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案	0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案\00000001.tif		上海市建设工程安全质量监督总站	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程分项、分部工程质量验收证明书(钢结构主体)	2010.05.21
0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案	0019 分项、分部质量验收证明书、施工组织设计审批表及施工方案\00000002.tif		江苏五星建设集团有限公司	施工组织设计审批表及施工方案	2009.11.06~2010.02.02
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程建设工程质量人员从业资格审查表	2009.12.28
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000002.tif		江苏五星建设集团有限公司	建设工程特殊工种上岗证审查表	2008.03.25~2009.06.05
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000003.tif		江苏五星建设集团有限公司	开工报告	2009.12.28
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000004.tif		江苏五星建设集团有限公司、中南建筑设计院等	图纸会审、设计交底纪要	2009.11.04
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000005.tif		中南建筑设计院	技术核定单	2010.02.01~2010.03.17
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000006.tif		江苏五星建设集团有限公司、中南建筑设计院等	设计变更汇总表及工程设计联系备忘录、联系单、签证单	2009.11.16~2010.07.25
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000007.tif		中南建筑设计院上海分院	建(构)筑物测量复核单	2009.12.26
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000008.tif		江苏五星建设集团有限公司	建筑物垂直测量记录表	2010.03.27~2010.03.28
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000009.tif		江苏五星建设集团有限公司	(南、北电梯地下室加固梁、电梯基坑底板钢筋等)隐蔽工程验收记录汇总表	2009.11.26~2010.05.15
0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等	0020 图纸会审设计交底纪要、建筑物垂直测量记录表、隐蔽工程验收记录等\00000010.tif		上海同济工程项目管理咨询有限公司	隐蔽工程验收记录	2009.11.26~2010.05.15
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程混凝土试块抗压强度试验报告汇总表	2009.11.27~2010.04.26
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000002.tif		上海诚云建设工程质量检测有限公司	混凝土试块抗压强度检测报告	2009.12.28~2010.02.01
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000003.tif		江苏五星建设集团有限公司	混凝土配合比通知汇总表	2009.11.27~2010.04.26
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000004.tif		上海北蔡混凝土有限公司	混凝土配合比通知单	2009.11.27~2009.12.02
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000005.tif		上海乐浦商品混凝土有限公司试验室	混凝土配合比通知单	2010.04.26
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000006.tif		上海乐浦商品混凝土有限公司试验室	预拌(商品)混凝土出厂质量保证书	2010.05.27
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000007.tif		江苏五星建设集团有限公司	钢材质量证明书、复试报告汇总表及合格证、检测报告等	2009.11.18
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000008.tif		江苏五星建设集团有限公司	钢材抗拔性能试验报告汇总表及检测报告	2009.11.24
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000009.tif		江苏五星建设集团有限公司	钢筋焊接试验报告汇总表及检测报告	2009.11.26
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000010.tif		江苏五星建设集团有限公司	(桥架线槽、电缆等)材料质量证明书汇总表及合格证、检测报告等	2010.06.01
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000011.tif		江苏五星建设集团有限公司	单位(子单位)工程质量竣工验收记录	2010.05.25
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000012.tif		江苏五星建设集团有限公司	单位(子单位)工程质量控制资料核查记录	2010.05.26
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000013.tif		江苏五星建设集团有限公司	基础分部(子分部)工程验收记录	2010.05.18
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000014.tif		江苏五星建设集团有限公司	(北井道底层、1~10层等)模板安装工程检验批质量验收记录表	2009.11.26~2010.05.14
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000015.tif		江苏五星建设集团有限公司	(北井道底层、1~10层等)钢筋加工检验批质量验收记录表	2009.11.26~2010.05.15
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000016.tif		江苏五星建设集团有限公司	(北井道底层、1~10层等)钢筋安装检验批质量验收记录表	2009.11.26~2010.05.13
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000017.tif		上海诚云建设工程质量检测有限公司	(北井道底层、1~10层等)混凝土施工检验批质量验收记录表	2009.11.26~2010.05.16
0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等	0021 混凝土抗压强度试验报告、混凝土配合比通知单、基础分部、分项及质检批等\00000018.tif		江苏五星建设集团有限公司	(北井道底层、1~10层等)现浇结构外观及尺寸偏差检验批质量验收记录表	2009.11.26~2010.05.16
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000001.tif		江苏五星建设集团有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程钢结构施工方案审批表及施工方案	2009.12.20
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000002.tif		江苏五星建设集团有限公司	(钢板、方管、H型钢等)材料质量证明书汇总表及合格证、检测报告等	2010.05.08
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000003.tif		江苏五星建设集团有限公司	(电焊条)焊接材料质量证明书汇总表及合格证、检测报告等	2010.01.07
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000004.tif		上海海空化工有限公司	(H06-4环氧富锌底漆)产品质保书	2010.05.06
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000005.tif		上海汇丽涂料有限公司	(防火涂料)产品质量保证书及检验报告	2010.10.06
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000006.tif	20100110	上海华捷检测工程技术有限公司	钢结构无损检测报告	2010.04.22
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000007.tif		江苏五星建设集团有限公司	主体结构分部钢结构子分部工程质量验收记录	2010.08.22
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000008.tif		江苏五星建设集团有限公司	钢结构分部(子分部)工程观感质量检验记录	2010.04.28
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000009.tif		江苏五星建设集团有限公司	(南电梯钢结构0.68-32.05安装焊接等)钢结构制作(安装)焊接工程检验批质量验收记录表	2010.03.15~2010.04.18
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000010.tif		江苏五星建设集团有限公司	(1~10层等)普通紧固件连接工程检验批质量验收记录表	2010.03.10~2010.03.30
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000011.tif		江苏五星建设集团有限公司	(南电梯钢结构0.68-32.05安装焊接等)钢构件组装工程检验批质量验收记录表	2010.03.15
0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等	0022 钢结构工程方案等合格证、检测报告、主体分部、分项及质检批等\00000012.tif		江苏五星建设集团有限公司	(-0.680~-78.850)防腐涂料涂装工程检验批质量验收记录表	2010.08.21~2010.08.22
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000000.tif			中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000001.tif		江苏五星建设集团有限公司、上海讯强建筑装饰工程有限公司	中华人民共和国上海出入境检验检疫局综合实验楼增设电梯工程幕墙工程施工合同及预算	2010.04.19
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000002.tif		上海讯强建筑装饰工程有限公司	建设工程特殊工种上岗证审查表	2010.04.19
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000003.tif		上海讯强建筑装饰工程有限公司	幕墙基准线复核表	2010.05.15~2010.05.18
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000004.tif		上海讯强建筑装饰工程有限公司	幕墙节点安装质量记录表	2010.05.17~2010.05.25
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000005.tif		上海讯强建筑装饰工程有限公司	(角钢、铝板、玻璃等)材料汇总表及合格证、检测报告等	2010.05.06~2010.06.08
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000006.tif	MQ018-100018	上海建科检验有限公司	建筑幕墙物理性能检测报告	2010.07.15
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000007.tif		上海讯强建筑装饰工程有限公司	幕墙工程分部(子分部)工程验收记录	2010.07.01
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000008.tif		上海讯强建筑装饰工程有限公司	幕墙分项工程质量验收记录	2010.07.01
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000009.tif		上海讯强建筑装饰工程有限公司	(1~21层南)玻璃幕墙工程检验批质量验收记录表(主控)	2010.06.20~2010.06.30
0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等	0023 幕墙工程合同及预算、幕墙物理性能检测报告、分部工程验收记录及质检批等\00000010.tif		上海讯强建筑装饰工程有限公司	幕墙分项工程质量验收记录	2010.06.20
